timestamp,open,high,low,close,volume,quote_volume,trade_count,buy_vol,sell_vol,delta,cum_delta,delta_pct,buy_trades,sell_trades,avg_trade_size,max_trade,large_vol_1btc,large_trades_1btc,whale_vol_5btc,poc_price,poc_buy_vol,poc_sell_vol,footprint_top3,absorption
2025-06-17 06:20:00,106988.89,107262.31,106988.89,107162.79,91.9197,9851477.47,7846,68.5047,23.4150,45.0897,39.0784,49.05,5326,2520,0.01172,3.0271,16.0191,9,0.0000,107260,8.5857,1.9378,107260:8.59:1.94;107170:6.65:2.70;107240:7.53:1.27,NO
2025-06-17 06:25:00,107162.80,107259.83,107148.00,107238.63,56.7132,6079228.48,4106,29.7400,26.9732,2.7667,41.8451,4.88,2345,1761,0.01381,6.2038,15.0706,6,6.2038,107160,5.6340,14.0632,107160:5.63:14.06;107240:3.86:1.47;107210:4.50:0.82,NO
2025-06-17 06:30:00,107238.68,107310.74,107148.01,107199.22,48.9229,5245163.75,4834,26.3052,22.6177,3.6875,45.5326,7.54,2663,2171,0.01012,2.5000,10.4866,6,0.0000,107170,4.3624,8.2806,107170:4.36:8.28;107230:3.37:2.59;107270:2.28:2.24,NO
2025-06-17 06:35:00,107199.22,107209.31,107101.83,107116.03,33.9436,3636818.75,3058,10.2859,23.6577,-13.3718,32.1608,-39.39,1453,1605,0.01110,1.3618,4.8716,4,0.0000,107130,1.7189,5.8821,107130:1.72:5.88;107120:1.90:5.10;107140:1.20:3.43,NO
2025-06-17 06:40:00,107116.03,107224.61,106930.23,107123.36,44.0273,4714020.48,4867,17.6317,26.3956,-8.7639,23.3969,-19.91,2404,2463,0.00905,4.0000,6.5641,3,0.0000,107030,0.5657,4.6708,107030:0.57:4.67;107080:1.28:2.17;106970:1.51:1.91,NO
2025-06-17 06:45:00,107123.36,107215.96,107080.00,107126.41,20.8339,2232461.78,3760,12.8423,7.9916,4.8507,28.2476,23.28,1956,1804,0.00554,1.3058,2.3446,2,0.0000,107100,1.6620,1.6875,107100:1.66:1.69;107190:2.25:1.08;107160:1.34:1.34,NO
2025-06-17 06:50:00,107126.41,107162.80,107034.24,107069.76,24.4870,2622212.00,3138,12.7898,11.6971,1.0927,29.3403,4.46,1452,1686,0.00780,2.0000,3.4031,2,0.0000,107080,2.0216,2.0302,107080:2.02:2.03;107060:2.01:1.73;107090:2.55:1.06,NO
2025-06-17 06:55:00,107069.76,107086.85,106989.01,107030.54,16.3393,1748820.27,2607,5.5563,10.7830,-5.2266,24.1137,-31.99,1244,1363,0.00627,1.0598,1.0598,1,0.0000,107030,1.0265,3.8076,107030:1.03:3.81;107050:0.39:2.32;107010:2.18:0.15,NO
2025-06-17 07:00:00,107030.54,107399.00,107023.25,107235.71,58.2331,6241575.37,5506,38.0179,20.2152,17.8028,41.9164,30.57,3459,2047,0.01058,2.5339,15.8502,11,0.0000,107340,10.7792,0.1718,107340:10.78:0.17;107060:5.20:3.29;107020:1.40:4.34,NO
2025-06-17 07:05:00,107235.71,107235.72,106971.49,107079.81,49.9935,5352371.60,4676,24.8759,25.1177,-0.2418,41.6746,-0.48,2092,2584,0.01069,1.4652,5.0663,4,0.0000,107060,6.4516,2.8431,107060:6.45:2.84;107040:6.90:0.72;107020:2.99:1.88,NO
2025-06-17 07:10:00,107079.82,107100.00,107028.11,107072.00,11.4765,1228834.80,2219,4.6140,6.8625,-2.2485,39.4261,-19.59,1119,1100,0.00517,0.7539,0.0000,0,0.0000,107090,0.4471,2.4113,107090:0.45:2.41;107070:1.00:1.30;107060:1.39:0.85,NO
